,apt_names,apt_address,apt_price,apt_type,apt_link
0,Platform Apartments,"747 Hampden Ave, Saint Paul, MN 55114","$1,245 - 2,225",Studio - 2 Beds,https://www.apartments.com/platform-apartments-saint-paul-mn/1p6mqy6/
1,Ratio,"909 Gould Ave NE, Columbia Heights, MN 55421","$950 - 2,763",Studio - 4 Beds,https://www.apartments.com/platform-apartments-saint-paul-mn/1p6mqy6/
2,Moda on Raymond,"760 Raymond Ave, Saint Paul, MN 55114","$1,094 - 2,875",Studio - 2 Beds,https://www.apartments.com/platform-apartments-saint-paul-mn/1p6mqy6/
3,The Collection at Highland Bridge,"800 Cretin Ave S, Saint Paul, MN 55116","$1,355 - 6,645",Studio - 2 Beds,https://www.apartments.com/platform-apartments-saint-paul-mn/1p6mqy6/
4,The Reeve,"4600 Lake Road Ave, Robbinsdale, MN 55422","$1,225 - 2,764",Studio - 3 Beds,https://www.apartments.com/ratio-columbia-heights-mn/b5317s9/
5,Solhaus Apartments,"2428 Delaware St, Minneapolis, MN 55414","$965 - 2,180",1-2 Beds,https://www.apartments.com/ratio-columbia-heights-mn/b5317s9/
6,365 Nicollet,"365 Nicollet Mall, Minneapolis, MN 55401","$1,292 - 10,779",Studio - 3 Beds,https://www.apartments.com/ratio-columbia-heights-mn/b5317s9/
7,Arcata Apartments,"901 Xenia Ave S, Minneapolis, MN 55416","$1,590 - 2,725",Studio - 2 Beds,https://www.apartments.com/ratio-columbia-heights-mn/b5317s9/
8,Track 29 City Apartments,"2841 Bryant Ave S, Minneapolis, MN 55408","$1,178 - 3,139",Studio - 2 Beds,https://www.apartments.com/moda-on-raymond-saint-paul-mn/mpxsf1j/
9,LPM,"1369 Spruce Pl, Minneapolis, MN 55403","$1,209 - 6,025",Studio - 3 Beds,https://www.apartments.com/moda-on-raymond-saint-paul-mn/mpxsf1j/
10,Minneapolis Grand Apartments,"2401 Chicago Ave, Minneapolis, MN 55404","$1,050 - 1,670",Studio - 2 Beds,https://www.apartments.com/moda-on-raymond-saint-paul-mn/mpxsf1j/
11,Xenia Apartments,"770 Xenia Ave S, Minneapolis, MN 55416","$1,620 - 3,855",1-2 Beds,https://www.apartments.com/moda-on-raymond-saint-paul-mn/mpxsf1j/
12,HQ Apartments,"816 Portland Ave S, Minneapolis, MN 55404","$1,075 - 4,580",Studio - 3 Beds,https://www.apartments.com/the-collection-at-highland-bridge-saint-paul-mn/9fjcmh6/
13,Rafter,"333 E Hennepin Ave, Minneapolis, MN 55414","$1,255 - 8,765",Studio - 3 Beds,https://www.apartments.com/the-collection-at-highland-bridge-saint-paul-mn/9fjcmh6/
14,Artistry on 10th,"95 S 10th St, Minneapolis, MN 55403","$915 - 3,809",Studio - 2 Beds,https://www.apartments.com/the-collection-at-highland-bridge-saint-paul-mn/9fjcmh6/
15,Lux Apartments,"6100 Summit Dr N, Minneapolis, MN 55430","$1,239 - 1,669",1-2 Beds,https://www.apartments.com/the-collection-at-highland-bridge-saint-paul-mn/9fjcmh6/
16,Daymark Uptown,"1455 W Lake St, Minneapolis, MN 55408","$1,070 - 3,615",Studio - 2 Beds,https://www.apartments.com/the-reeve-robbinsdale-mn/v7p4gje/
17,Jax Apartments,"2333 Jackson St NE, Minneapolis, MN 55418","$950 - 2,010",Studio - 2 Beds,https://www.apartments.com/the-reeve-robbinsdale-mn/v7p4gje/
18,LAKEHAUS,"3100 W Lake St, Minneapolis, MN 55416","$1,685 - 9,063",1-2 Beds,https://www.apartments.com/the-reeve-robbinsdale-mn/v7p4gje/
19,Marquee,"1410 Nicollet Ave, Minneapolis, MN 55403","$1,130 - 2,145",Studio - 2 Beds,https://www.apartments.com/the-reeve-robbinsdale-mn/v7p4gje/
20,270 Hennepin,"270 Hennepin Ave, Minneapolis, MN 55402","$1,335 - 12,045",Studio - 3 Beds,https://www.apartments.com/solhaus-apartments-minneapolis-mn/2vhc6pb/
21,240 Park Avenue,"240 Park Ave, Minneapolis, MN 55415","$1,450 - 9,500",1-3 Beds,https://www.apartments.com/solhaus-apartments-minneapolis-mn/2vhc6pb/
22,Lucille,"1025 Main St, Minneapolis, MN 55413","$1,295 - 3,550",Studio - 3 Beds,https://www.apartments.com/solhaus-apartments-minneapolis-mn/2vhc6pb/
23,Huxley Apartments,"657 22nd Ave NE, Minneapolis, MN 55418","$1,099 - 2,335",Studio - 2 Beds,https://www.apartments.com/solhaus-apartments-minneapolis-mn/2vhc6pb/
24,Moment,"650 Portland Ave, Minneapolis, MN 55415","$1,577 - 5,272",Studio - 2 Beds,https://www.apartments.com/365-nicollet-minneapolis-mn/l4fv1ld/
25,The Larking,"615 S 8th St, Minneapolis, MN 55404","$1,199 - 6,701",Studio - 3 Beds,https://www.apartments.com/365-nicollet-minneapolis-mn/l4fv1ld/
26,York Place Apartments Edina,"3121 69th St W, Edina, MN 55435","$1,199 - 2,160",Studio - 2 Beds,https://www.apartments.com/365-nicollet-minneapolis-mn/l4fv1ld/
27,Excelsior & Grand,"4732 Excelsior Blvd, Saint Louis Park, MN 55416","$1,499 - 3,999",Studio - 2 Beds,https://www.apartments.com/365-nicollet-minneapolis-mn/l4fv1ld/
28,Lake Pointe,"3413-3433 53rd Ave N, Brooklyn Center, MN 55429","$999 - 1,199",1 Bed,https://www.apartments.com/arcata-apartments-minneapolis-mn/9rxh8n7/
29,The Aubrey,"4220-4230 Nicollet Ave, Minneapolis, MN 55409","$2,699",2 Beds,https://www.apartments.com/arcata-apartments-minneapolis-mn/9rxh8n7/
30,The Vicinity,"205 Park Ave, Minneapolis, MN 55415","$1,634 - 4,475",Studio - 2 Beds,https://www.apartments.com/arcata-apartments-minneapolis-mn/9rxh8n7/
31,1800 Lake,"1800 W Lake St, Minneapolis, MN 55408","$1,905 - 3,130",1-2 Beds,https://www.apartments.com/arcata-apartments-minneapolis-mn/9rxh8n7/
32,South Wirth Apartments,"501 Theodore Wirth Pky, Minneapolis, MN 55422","$1,449 - 2,999",1-2 Beds,https://www.apartments.com/track-29-city-apartments-minneapolis-mn/xd2xg0p/
33,22 on the River,"22 27th Ave SE, Minneapolis, MN 55414","$912 - 2,698",Studio - 2 Beds,https://www.apartments.com/track-29-city-apartments-minneapolis-mn/xd2xg0p/
34,The Encore,"212 10th Ave S, Minneapolis, MN 55415","$1,837 - 9,268",Studio - 3 Beds,https://www.apartments.com/track-29-city-apartments-minneapolis-mn/xd2xg0p/
35,Forte on the Park,"1125 S 2nd St, Minneapolis, MN 55415","$1,592 - 7,435",Studio - 2 Beds,https://www.apartments.com/track-29-city-apartments-minneapolis-mn/xd2xg0p/
36,Ironclad Residential,"811 Washington Ave S, Minneapolis, MN 55415","$1,600 - 4,695",1-2 Beds,https://www.apartments.com/lpm-minneapolis-mn/htc4991/
37,Smyth Lofts | Luxury Lofts in the North Loop,"212 N 2nd St, Minneapolis, MN 55401",Call for Rent,1-3 Beds,https://www.apartments.com/lpm-minneapolis-mn/htc4991/
38,Laguna Apartments,"2900 Irving Ave S, Minneapolis, MN 55408","$1,495 - 3,395",1-3 Beds,https://www.apartments.com/lpm-minneapolis-mn/htc4991/
39,EXPO,"200 University Ave SE, Minneapolis, MN 55414","$1,625 - 6,995",1-3 Beds,https://www.apartments.com/lpm-minneapolis-mn/htc4991/
40,The Duffey,"528 Washington Ave, Minneapolis, MN 55401","$1,350 - 3,175",Studio - 2 Beds,https://www.apartments.com/minneapolis-grand-apartments-minneapolis-mn/bj3z6n9/
41,Solhavn/Soltva/NOLO Flats,"815 N 2nd St, Minneapolis, MN 55401","$1,573 - 2,846",1-2 Beds,https://www.apartments.com/minneapolis-grand-apartments-minneapolis-mn/bj3z6n9/
42,Arrive Loring Park,"18 W 15th St, Minneapolis, MN 55403","$1,290 - 3,345",Studio - 2 Beds,https://www.apartments.com/minneapolis-grand-apartments-minneapolis-mn/bj3z6n9/
43,Maverick North Loop Apartments,"120 Hennepin Ave, Minneapolis, MN 55401",Call for Rent,Studio - 3 Beds,https://www.apartments.com/minneapolis-grand-apartments-minneapolis-mn/bj3z6n9/
44,Borealis,"721 N 1st St, Minneapolis, MN 55401","$1,985 - 3,275",1-2 Beds,https://www.apartments.com/xenia-apartments-minneapolis-mn/v2crl6g/
45,Gibson Apartments,"703 NE Central Ave, Minneapolis, MN 55414","$1,507 - 4,586",Studio - 2 Beds,https://www.apartments.com/xenia-apartments-minneapolis-mn/v2crl6g/
46,Red 20 Apartments,"20 6th St NE, Minneapolis, MN 55413","$1,411 - 3,828",Studio - 3 Beds,https://www.apartments.com/xenia-apartments-minneapolis-mn/v2crl6g/
47,Walkway,"1320 W Lake St, Minneapolis, MN 55408","$1,391 - 4,061",1-3 Beds,https://www.apartments.com/xenia-apartments-minneapolis-mn/v2crl6g/
48,The Archive,"110 N 1st St, Minneapolis, MN 55401","$1,525 - 3,595",Studio - 2 Beds,https://www.apartments.com/hq-apartments-minneapolis-mn/1ghhjk5/
49,Ox-Op Apartments,"1111 S Washington Ave, Minneapolis, MN 55415","$1,241 - 6,278",Studio - 2 Beds,https://www.apartments.com/hq-apartments-minneapolis-mn/1ghhjk5/
50,The Station at Malcolm Yards,"485 Malcolm Ave SE, Minneapolis, MN 55414","$1,100 - 2,395",Studio - 2 Beds,https://www.apartments.com/hq-apartments-minneapolis-mn/1ghhjk5/
51,One Ten Grant,"110 W Grant St, Minneapolis, MN 55403","$1,331 - 2,947",1-2 Beds,https://www.apartments.com/hq-apartments-minneapolis-mn/1ghhjk5/
52,The Elysian,"711 4th St SE, Minneapolis, MN 55414","$1,750 - 3,995",2-4 Beds,https://www.apartments.com/rafter-minneapolis-mn/h0w7wj1/
53,The Nic on Fifth,"465 Nicollet Mall, Minneapolis, MN 55401","$1,261 - 10,405",Studio - 3 Beds,https://www.apartments.com/rafter-minneapolis-mn/h0w7wj1/
54,The Bohen,"2851 Hennepin Ave, Minneapolis, MN 55408","$1,315 - 4,190",Studio - 3 Beds,https://www.apartments.com/rafter-minneapolis-mn/h0w7wj1/
55,Tree Tops,"3535 S Bryant Ave, Minneapolis, MN 55408","$1,095 - 1,210",Studio,https://www.apartments.com/rafter-minneapolis-mn/h0w7wj1/
56,Vesi,"730 1/2 N 1st St, Minneapolis, MN 55401","$1,760 - 6,065",1-2 Beds,https://www.apartments.com/artistry-on-10th-minneapolis-mn/jnqm575/
57,Parkway Commons,"4141 W 31st St, Minneapolis, MN 55416","$1,790 - 1,895",Studio - 2 Beds,https://www.apartments.com/artistry-on-10th-minneapolis-mn/jnqm575/
58,FreightYard Townhomes and Flats,"50 4th Ave N, Minneapolis, MN 55401","$1,515 - 2,205",1-2 Beds,https://www.apartments.com/artistry-on-10th-minneapolis-mn/jnqm575/
59,Hencen,"455 Central Ave SE, Minneapolis, MN 55414","$1,195 - 3,250",Studio - 2 Beds,https://www.apartments.com/artistry-on-10th-minneapolis-mn/jnqm575/
60,The Abbott,"3401 W 44th St, Minneapolis, MN 55410","$1,575 - 4,850",1-2 Beds,https://www.apartments.com/lux-apartments-minneapolis-mn/b74bl69/
61,AVID,"3431 Dupont Ave S, Minneapolis, MN 55408","$1,165 - 1,195",Studio - 1 Bed,https://www.apartments.com/lux-apartments-minneapolis-mn/b74bl69/
62,The Murals of LynLake,"2833 Lyndale Ave S, Minneapolis, MN 55408","$1,285 - 2,400",Studio - 2 Beds,https://www.apartments.com/lux-apartments-minneapolis-mn/b74bl69/
63,Cortland Mill District,"313 Washington Ave S, Minneapolis, MN 55415","$1,227 - 2,614",Studio - 2 Beds,https://www.apartments.com/lux-apartments-minneapolis-mn/b74bl69/
64,Sela Campus University Apartments,"701 University Ave SE, Minneapolis, MN 55414","$1,049",1 Bed,https://www.apartments.com/daymark-uptown-minneapolis-mn/xpy2mtp/
65,Marquette Place,"1314 Marquette Ave, Minneapolis, MN 55403","$1,619 - 5,288",1-4 Beds,https://www.apartments.com/daymark-uptown-minneapolis-mn/xpy2mtp/
66,222 Hennepin,"222 Hennepin Ave, Minneapolis, MN 55401","$1,540 - 3,275",Studio - 2 Beds,https://www.apartments.com/daymark-uptown-minneapolis-mn/xpy2mtp/
67,Variant,"315 N 7th Ave, Minneapolis, MN 55401","$1,110 - 4,203",Studio - 2 Beds,https://www.apartments.com/daymark-uptown-minneapolis-mn/xpy2mtp/
68,Good Dwelling,"2640 Nicollet Ave, Minneapolis, MN 55408","$1,254 - 2,015",1-2 Beds,https://www.apartments.com/jax-apartments-minneapolis-mn/gjv32kw/
69,Laurel Village,"1254 Hennepin Ave N, Minneapolis, MN 55403","$1,050 - 2,300",Studio - 2 Beds,https://www.apartments.com/jax-apartments-minneapolis-mn/gjv32kw/
70,Seven Corners,"1400 S 2nd St, Minneapolis, MN 55454","$1,250",2 Beds,https://www.apartments.com/jax-apartments-minneapolis-mn/gjv32kw/
71,The Miles Uptown,"2837 Dupont Ave S, Minneapolis, MN 55408","$1,192 - 5,437",Studio - 2 Beds,https://www.apartments.com/jax-apartments-minneapolis-mn/gjv32kw/
72,The Paxon,"360 N 1st St, Minneapolis, MN 55401","$1,380 - 2,198",Studio - 2 Beds,https://www.apartments.com/lakehaus-minneapolis-mn/hkb5332/
73,Five15 on the Park,"515 15th Ave S, Minneapolis, MN 55454","$1,368 - 1,914",1-2 Beds,https://www.apartments.com/lakehaus-minneapolis-mn/hkb5332/
74,ZEO,"1420 W 32nd St, Minneapolis, MN 55408","$1,265 - 1,500",1 Bed,https://www.apartments.com/lakehaus-minneapolis-mn/hkb5332/
75,Humboldt Terrace,"2725 Humboldt Ave S, Minneapolis, MN 55408","$1,349",2 Beds,https://www.apartments.com/lakehaus-minneapolis-mn/hkb5332/
76,Junction Flats,"643 N 5th St, Minneapolis, MN 55401","$1,220 - 2,980",Studio - 2 Beds,https://www.apartments.com/marquee-minneapolis-mn/rne1q82/
77,The Shale,"4757 Hiawatha Ave, Minneapolis, MN 55406","$1,094 - 3,015",Studio - 2 Beds,https://www.apartments.com/marquee-minneapolis-mn/rne1q82/
78,Elan Uptown,"2837 Emerson Ave S, Minneapolis, MN 55408","$1,299 - 7,676",Studio - 2 Beds,https://www.apartments.com/marquee-minneapolis-mn/rne1q82/
79,3828 Apartments,"3806 28th Ave, Minneapolis, MN 55406","$1,485 - 1,845",1-2 Beds,https://www.apartments.com/marquee-minneapolis-mn/rne1q82/
80,4Marq,"400 Marquette Ave, Minneapolis, MN 55401","$1,260 - 6,367",Studio - 3 Beds,https://www.apartments.com/270-hennepin-minneapolis-mn/1eej1c4/
81,The Venue On Knox,"2893 Knox Ave S, Minneapolis, MN 55408","$1,090 - 2,405",Studio - 2 Beds,https://www.apartments.com/270-hennepin-minneapolis-mn/1eej1c4/
82,Aberdeen Apartments,"500 E 14th St, Minneapolis, MN 55404","$995 - 1,550",Studio,https://www.apartments.com/270-hennepin-minneapolis-mn/1eej1c4/
83,Foundry Lake Street,"3118 West Lake St, Minneapolis, MN 55416","$1,496 - 4,305",Studio - 3 Beds,https://www.apartments.com/270-hennepin-minneapolis-mn/1eej1c4/
84,The Asher,"1125 Lagoon Ave, Minneapolis, MN 55408","$1,160 - 3,390",Studio - 3 Beds,https://www.apartments.com/240-park-avenue-minneapolis-mn/l25kw2f/
85,Lago Apartments,"500 W Lake St, Minneapolis, MN 55408","$1,090 - 2,185",Studio - 2 Beds,https://www.apartments.com/240-park-avenue-minneapolis-mn/l25kw2f/
86,The Beach Club Residences,"2900 Thomas Ave S, Minneapolis, MN 55416","$1,565 - 10,019",Studio - 4 Beds,https://www.apartments.com/240-park-avenue-minneapolis-mn/l25kw2f/
87,Sora,"600 S 5th Ave, Minneapolis, MN 55415","$1,000 - 2,966",Studio - 2 Beds,https://www.apartments.com/240-park-avenue-minneapolis-mn/l25kw2f/
88,Dock Street Flats,"337 N Washington Ave, Minneapolis, MN 55401","$1,499 - 2,599",Studio - 2 Beds,https://www.apartments.com/lucille-minneapolis-mn/6vw33et/
89,Flux Apartments,"2838 Fremont Ave S, Minneapolis, MN 55408","$1,185 - 3,015",Studio - 2 Beds,https://www.apartments.com/lucille-minneapolis-mn/6vw33et/
90,3848 West Broadway,"3848-3854 W Broadway Ave, Minneapolis, MN 55422","$1,049",1-2 Beds,https://www.apartments.com/lucille-minneapolis-mn/6vw33et/
91,PURE Lowry,"2000 Lyndale Ave, Minneapolis, MN 55405","$1,094 - 2,608",Studio - 2 Beds,https://www.apartments.com/lucille-minneapolis-mn/6vw33et/
92,Luna,"2520 8th St S, Minneapolis, MN 55454","$1,113 - 2,390",Studio - 2 Beds,https://www.apartments.com/huxley-apartments-minneapolis-mn/lr4n6gd/
93,B-Side Apartments,"3027 22nd Ave S, Minneapolis, MN 55407","$999 - 2,350",Studio - 2 Beds,https://www.apartments.com/huxley-apartments-minneapolis-mn/lr4n6gd/
94,Rex26,"2621 Lyndale Ave S, Minneapolis, MN 55408","$1,233 - 2,872",1-2 Beds,https://www.apartments.com/huxley-apartments-minneapolis-mn/lr4n6gd/
95,The Lily Pad,"3601 Nicollet Ave, Minneapolis, MN 55409","$1,320",1 Bed,https://www.apartments.com/huxley-apartments-minneapolis-mn/lr4n6gd/
96,Chroma,"113 E 26th St, Minneapolis, MN 55404","$1,191 - 2,961",1-3 Beds,https://www.apartments.com/moment-minneapolis-mn/s1qg2g4/
97,Loring Park,"1300 Yale Pl, Minneapolis, MN 55403","$1,016 - 2,985",Studio - 3 Beds,https://www.apartments.com/moment-minneapolis-mn/s1qg2g4/
98,Rivergate Apartments,"115 2nd Ave S, Minneapolis, MN 55401","$1,085 - 1,485",Studio - 2 Beds,https://www.apartments.com/moment-minneapolis-mn/s1qg2g4/
99,Nico Apartments,"1702 Nicollet Ave, Minneapolis, MN 55403","$945 - 2,695",Studio - 3 Beds,https://www.apartments.com/moment-minneapolis-mn/s1qg2g4/
100,Bolero Flats Apartments,"1117 Marquette Ave, Minneapolis, MN 55403","$1,174 - 2,676",1-2 Beds,https://www.apartments.com/the-larking-minneapolis-mn/wvyehnl/
101,LaSalle Apartments,"36 S 9th St, Minneapolis, MN 55402","$860 - 1,599",Studio - 1 Bed,https://www.apartments.com/the-larking-minneapolis-mn/wvyehnl/
102,Deco 265,"265 Girard Ave N, Minneapolis, MN 55405","$1,220 - 1,990",Studio - 2 Beds,https://www.apartments.com/the-larking-minneapolis-mn/wvyehnl/
103,Colfax Villas I,"3611 Colfax Ave S, Minneapolis, MN 55409","$899 - 1,049",Studio - 1 Bed,https://www.apartments.com/the-larking-minneapolis-mn/wvyehnl/
104,Cedars 94,"2220 E Franklin Ave, Minneapolis, MN 55404","$887 - 1,771",Studio - 2 Beds,https://www.apartments.com/york-place-apartments-edina-edina-mn/xh8mdsm/
105,Rosa Apartments | MPLS,"4201 Nicollet Ave, Minneapolis, MN 55409","$940 - 2,565",Studio - 3 Beds,https://www.apartments.com/york-place-apartments-edina-edina-mn/xh8mdsm/
106,Yugo Minneapolis Sydney Hall,"308 15th Ave SE, Minneapolis, MN 55414","$649 - 2,118",Studio - 4 Beds,https://www.apartments.com/york-place-apartments-edina-edina-mn/xh8mdsm/
107,Windom Gables Townhomes,"33 Wentworth Ct E, Minneapolis, MN 55419","$950 - 1,939",1-3 Beds,https://www.apartments.com/york-place-apartments-edina-edina-mn/xh8mdsm/
108,Stevens Community Apartments,"128 E 18th St, Minneapolis, MN 55403","$700 - 1,600",Studio - 2 Beds,https://www.apartments.com/excelsior-grand-saint-louis-park-mn/49h6srl/
109,Landsby on Penn,"6200 Penn Ave S, Richfield, MN 55423","$1,635 - 4,001",Studio - 3 Beds,https://www.apartments.com/excelsior-grand-saint-louis-park-mn/49h6srl/
110,Elan West End,"1325 Utica Ave S, Saint Louis Park, MN 55416","$1,781 - 2,975",Studio - 3 Beds,https://www.apartments.com/excelsior-grand-saint-louis-park-mn/49h6srl/
111,740 River Drive,"740 Mississippi River Blvd S, Saint Paul, MN 55116","$1,480 - 5,016",Studio - 4 Beds,https://www.apartments.com/excelsior-grand-saint-louis-park-mn/49h6srl/
112,CE Flats,"2410 W University Ave W, Saint Paul, MN 55114","$1,544 - 9,205",Studio - 2 Beds,https://www.apartments.com/lake-pointe-brooklyn-center-mn/0ddqlb3/
113,Astor Place Of Edina,"6455 S York Ave, Edina, MN 55435","$1,284 - 2,064",Studio - 2 Beds,https://www.apartments.com/lake-pointe-brooklyn-center-mn/0ddqlb3/
114,Millennium Edina,"3250 W 66th St, Edina, MN 55435","$1,415 - 3,516",Studio - 3 Beds,https://www.apartments.com/lake-pointe-brooklyn-center-mn/0ddqlb3/
115,Midline Apartments,"2227 University Ave, Saint Paul, MN 55114","$1,245 - 2,195",Studio - 2 Beds,https://www.apartments.com/lake-pointe-brooklyn-center-mn/0ddqlb3/
116,The Lyric at Carleton Place,"765 N Hampden Ave, Saint Paul, MN 55114","$1,385 - 2,450",Studio - 2 Beds,https://www.apartments.com/the-aubrey-minneapolis-mn/em6c47q/
117,Marshall Lofts,"2105 Marshall Ave, Saint Paul, MN 55104","$1,895 - 3,975",2-3 Beds,https://www.apartments.com/the-aubrey-minneapolis-mn/em6c47q/
118,Verge,"3601 Park Center Blvd, Saint Louis Park, MN 55416","$1,520 - 12,387",1-2 Beds,https://www.apartments.com/the-aubrey-minneapolis-mn/em6c47q/
119,RAY,"2323 Charles Ave, Saint Paul, MN 55114","$1,170 - 1,350",Studio - 2 Beds,https://www.apartments.com/the-vicinity-minneapolis-mn/2xrym49/
120,The Ruby,"3750 Silver Lake Rd NE, Saint Anthony, MN 55421","$1,454 - 8,975",Studio - 3 Beds,https://www.apartments.com/the-vicinity-minneapolis-mn/2xrym49/
121,Arrive 4301,"4301 Park Glen Rd, Saint Louis Park, MN 55416","$1,065 - 2,425",Studio - 2 Beds,https://www.apartments.com/the-vicinity-minneapolis-mn/2xrym49/
122,Novo Apartments,"2400 W 66th St, Richfield, MN 55423","$1,185 - 3,429",Studio - 2 Beds,https://www.apartments.com/the-vicinity-minneapolis-mn/2xrym49/
123,Minikahda Court Apartments,"3504 Minikahda Ct, Saint Louis Park, MN 55416","$1,054 - 1,380",Studio - 2 Beds,https://www.apartments.com/1800-lake-minneapolis-mn/sxgl4j7/
124,THE LAKES RESIDENCES,"2622 W Lake St, Minneapolis, MN 55416","$2,500 - 12,938",1-2 Beds,https://www.apartments.com/1800-lake-minneapolis-mn/sxgl4j7/
125,311 Kenwood Apartments | Spacious 1-Bedroo...,"311 Kenwood Pky, Minneapolis, MN 55403","$1,405 - 1,605",1 Bed,https://www.apartments.com/1800-lake-minneapolis-mn/sxgl4j7/
126,The Abbey Apartments,"47 Spruce Pl, Minneapolis, MN 55403","$1,399 - 2,325",Studio - 2 Beds,https://www.apartments.com/1800-lake-minneapolis-mn/sxgl4j7/
127,Laurel & Olive,"3136 Minnehaha Ave, Minneapolis, MN 55406","$1,095 - 2,050",Studio - 2 Beds,https://www.apartments.com/south-wirth-apartments-minneapolis-mn/m0mg08j/
128,SoPHI Apartments | Spacious Studios!,"811 E Lake St, Minneapolis, MN 55407","$1,200 - 1,250",Studio,https://www.apartments.com/south-wirth-apartments-minneapolis-mn/m0mg08j/
129,Rym Apartments,"309 Ulysses St, Minneapolis, MN 55413","$1,175 - 1,275",Studio,https://www.apartments.com/south-wirth-apartments-minneapolis-mn/m0mg08j/
130,1000 Main Street,"1000 Main St NE, Minneapolis, MN 55413","$1,225 - 2,445",Studio - 2 Beds,https://www.apartments.com/south-wirth-apartments-minneapolis-mn/m0mg08j/
131,Velo,"115 N 2nd St, Minneapolis, MN 55401","$1,236 - 2,757",Studio - 2 Beds,https://www.apartments.com/22-on-the-river-minneapolis-mn/eb8qz0m/
132,Phoenix North Loop,"915 Washington Ave N, Minneapolis, MN 55401","$1,599 - 2,999",1-2 Beds,https://www.apartments.com/22-on-the-river-minneapolis-mn/eb8qz0m/
133,Mill District City Club Apartments,"225 Portland Ave, Minneapolis, MN 55401","$1,375 - 3,250",Studio - 3 Beds,https://www.apartments.com/22-on-the-river-minneapolis-mn/eb8qz0m/
134,Blue,"2922 Aldrich Ave S, Minneapolis, MN 55408","$1,269 - 3,984",Studio - 2 Beds,https://www.apartments.com/the-encore-minneapolis-mn/0dkjsr1/
135,Gatsby Apartments,"1400 Park Ave, Minneapolis, MN 55404","$1,390 - 2,705",Studio - 2 Beds,https://www.apartments.com/the-encore-minneapolis-mn/0dkjsr1/
136,Linden Flats in Linden Hills,"4418-4422 Beard Ave, Minneapolis, MN 55410","$1,395 - 2,840",1-2 Beds,https://www.apartments.com/the-encore-minneapolis-mn/0dkjsr1/
137,East River Terrace,"2101 E River Ter, Minneapolis, MN 55414","$895 - 1,150",Studio - 2 Beds,https://www.apartments.com/the-encore-minneapolis-mn/0dkjsr1/
138,Lake Harriet Commons,"4416 S Chowen Ave, Minneapolis, MN 55410","$1,255 - 1,275",2 Beds,https://www.apartments.com/forte-on-the-park-minneapolis-mn/bmtqjg9/
139,Uptown Square,"2908 Bryant Ave S, Minneapolis, MN 55408","$899 - 1,189",Studio - 1 Bed,https://www.apartments.com/forte-on-the-park-minneapolis-mn/bmtqjg9/
140,The Central,"3503 2nd Ave S, Minneapolis, MN 55408","$1,015 - 1,149",Studio - 3 Beds,https://www.apartments.com/forte-on-the-park-minneapolis-mn/bmtqjg9/
141,The Lorient,"3901 Sunnyside Rd S, Edina, MN 55424","$2,950 - 5,459",1-2 Beds,https://www.apartments.com/forte-on-the-park-minneapolis-mn/bmtqjg9/
142,View 44,"4425 Valley View Rd, Edina, MN 55424","$2,997 - 4,225",1-2 Beds,https://www.apartments.com/ironclad-residential-minneapolis-mn/6z0vvcv/
143,Arrive Inglewood Trails,"3200 Inglewood Ave S, Saint Louis Park, MN 55416","$1,460 - 2,875",Studio - 2 Beds,https://www.apartments.com/ironclad-residential-minneapolis-mn/6z0vvcv/
144,Central Park West,"1511 Utica Ave S, Saint Louis Park, MN 55416","$1,605 - 4,915",Studio - 2 Beds,https://www.apartments.com/ironclad-residential-minneapolis-mn/6z0vvcv/
145,Parker Station Flats,"3600 France Ave N, Robbinsdale, MN 55422","$1,260 - 2,390",Studio - 2 Beds,https://www.apartments.com/smyth-lofts-luxury-lofts-in-the-north-loop-minneapolis-mn/pl8jcxs/
146,Grand & Finn Apartments,"2124 Grand Ave, Saint Paul, MN 55105",$830 - 850,1 Bed,https://www.apartments.com/smyth-lofts-luxury-lofts-in-the-north-loop-minneapolis-mn/pl8jcxs/
147,Riley Apartments,"600 W 64th St W, Richfield, MN 55423","$1,230 - 1,480",Studio - 2 Beds,https://www.apartments.com/smyth-lofts-luxury-lofts-in-the-north-loop-minneapolis-mn/pl8jcxs/
148,Moerty Apartments,"821 6th Ave SE, Minneapolis, MN 55414","$1,295 - 1,595",Studio - 1 Bed,https://www.apartments.com/smyth-lofts-luxury-lofts-in-the-north-loop-minneapolis-mn/pl8jcxs/
149,Noko,"4720 Longfellow Avenue S, Minneapolis, MN 55407","$1,400 - 3,510",Studio - 2 Beds,https://www.apartments.com/laguna-apartments-minneapolis-mn/kp0e96c/
150,The M on Hennepin,"10 2nd St SE, Minneapolis, MN 55413","$1,495 - 2,620",Studio - 3 Beds,https://www.apartments.com/laguna-apartments-minneapolis-mn/kp0e96c/
151,Be @ Axon Green,"3144 Chowen Ave S, Minneapolis, MN 55416","$1,400 - 2,985",Studio - 2 Beds,https://www.apartments.com/laguna-apartments-minneapolis-mn/kp0e96c/
152,Marko Apartments- Pre-leasing for Fall 2023,"711 8th St SE, Minneapolis, MN 55414","$1,250 - 1,850",Studio - 1 Bed,https://www.apartments.com/laguna-apartments-minneapolis-mn/kp0e96c/
153,Risor St. Louis Park - Active Adult 55+,"3510 Beltline Blvd, Minneapolis, MN 55416","$1,695 - 5,060",1-3 Beds,https://www.apartments.com/expo-minneapolis-mn/90sk3p6/
